シリーズ,カード番号,カード名,レアリティ,カテゴリー,ブランド,星座、ロマンス,キャラ,画像
第1弾,01-01,オーロラキスキャミソール,プレミアムレア,トップス,Angely Sugar,,星宮いちご,
第1弾,01-02,アイスブルーフリルキャミソール,レア,トップス,Angely Sugar,,星宮いちご,
第1弾,01-03,パフスリーブレモンカラーボレロ,ノーマル,トップス,,,星宮いちご,
第1弾,01-04,ピンクリボンつきフリルシャツ,ノーマル,トップス,,,星宮いちご,
第1弾,01-05,ミントシフォントップス,ノーマル,トップス,,,星宮いちご,
第1弾,01-06,ピンクステージベスト,ノーマル,トップス,スクールドレス,,星宮いちご,
第1弾,01-07,オーロラキスドレープスカート,プレミアムレア,ボトムス,Angely Sugar,,星宮いちご,
第1弾,01-08,アイスブルーフリルパニエ,レア,ボトムス,Angely Sugar,,星宮いちご,
第1弾,01-09,ラベンダーフリルスカート,ノーマル,ボトムス,,,星宮いちご,
第1弾,01-10,ピンクギャザーフレアスカート,ノーマル,ボトムス,,,星宮いちご,
第1弾,01-11,花柄ショートパンツ,ノーマル,ボトムス,,,星宮いちご,
第1弾,01-12,ピンクステージスカート,ノーマル,ボトムス,スクールドレス,,星宮いちご,
第1弾,01-13,小花柄イエローワンピ,レア,トップス&ボトムス,Angely Sugar,,星宮いちご,
第1弾,01-14,オーロラキスバレエシューズ,プレミアムレア,シューズ,Angely Sugar,,星宮いちご,
第1弾,01-15,アイスブルーフリルシューズ,レア,シューズ,Angely Sugar,,星宮いちご,
第1弾,01-16,イエロー編み上げブーツ,ノーマル,シューズ,,,星宮いちご,
第1弾,01-17,折り返しピンクショートブーツ,ノーマル,シューズ,,,星宮いちご,
第1弾,01-18,ピンクステージシューズ,ノーマル,シューズ,スクールドレス,,星宮いちご,
第1弾,01-19,天の川コズミックワンショルダー,プレミアムレア,トップス,FUTURING GIRL,,霧矢あおい,
第1弾,01-20,ブラックモダンボレロ,レア,トップス,FUTURING GIRL,,霧矢あおい,
第1弾,01-21,ブラックストライプジャケット,ノーマル,トップス,,,霧矢あおい,
第1弾,01-22,レインボープリントシャツ,ノーマル,トップス,,,霧矢あおい,
第1弾,01-23,ブルーステージブラウス,ノーマル,トップス,スクールドレス,,霧矢あおい,
第1弾,01-24,天の川コズミックスカート,プレミアムレア,ボトムス,FUTURING GIRL,,霧矢あおい,
第1弾,01-25,ブラックフューチャーエナメルショートパンツ,レア,ボトムス,FUTURING GIRL,,霧矢あおい,
第1弾,01-26,ダイヤモンドチェックスカート,ノーマル,ボトムス,,,霧矢あおい,
第1弾,01-27,ブラックスキニーパンツ,ノーマル,ボトムス,,,霧矢あおい,
第1弾,01-28,ブルーステージスカート,ノーマル,ボトムス,スクールドレス,,霧矢あおい,
第1弾,01-29,プリズムサイバーグラフィックワンピ,レア,トップス&ボトムス,FUTURING GIRL,,霧矢あおい,
第1弾,01-30,天の川コズミックブーツ,プレミアムレア,シューズ,FUTURING GIRL,,霧矢あおい,
第1弾,01-31,ブラックフューチャーブーツ,レア,シューズ,FUTURING GIRL,,霧矢あおい,
第1弾,01-32,ブルーニーハイブーツ,ノーマル,シューズ,,,霧矢あおい,
第1弾,01-33,ブルーストラップシューズ,ノーマル,シューズ,,,霧矢あおい,
第1弾,01-34,ブルーステージブーツ,ノーマル,シューズ,スクールドレス,,霧矢あおい,
第1弾,01-35,アゲハロゴフリルトップス,レア,トップス,SPICY AGEHA,,紫吹蘭,
第1弾,01-36,プッチがらシャイニングトップス,ノーマル,トップス,,,紫吹蘭,
第1弾,01-37,セクシーロゴチューブトップ,ノーマル,トップス,,,紫吹蘭,
第1弾,01-38,パープルステージトップス,ノーマル,トップス,スクールドレス,,紫吹蘭,
第1弾,01-39,アゲハファーつきスカート,レア,ボトムス,SPICY AGEHA,,紫吹蘭,
第1弾,01-40,ブラックウォッシュデニムミニ,ノーマル,ボトムス,,,紫吹蘭,
第1弾,01-41,ベルトつきレザースカート,ノーマル,ボトムス,,,紫吹蘭,
第1弾,01-42,パープルステージスカート,ノーマル,ボトムス,スクールドレス,,紫吹蘭,
第1弾,01-43,パープルジュエリーワンピ,レア,トップス&ボトムス,SPICY AGEHA,,紫吹蘭,
第1弾,01-44,アゲハレッドコクーンワンピ,レア,トップス&ボトムス,SPICY AGEHA,,紫吹蘭,
第1弾,01-45,アゲハレッドミュール,レア,シューズ,SPICY AGEHA,,紫吹蘭,
第1弾,01-46,サイハイレザーブーツ,ノーマル,シューズ,,,紫吹蘭,
第1弾,01-47,ゴールドチェーングラディエーター,レア,シューズ,SPICY AGEHA,,紫吹蘭,
第1弾,01-48,パープルステージニーハイパンプス,ノーマル,シューズ,スクールドレス,,紫吹蘭,
第1弾,01-49,ブラックシフォンカチューシャ,レア,アクセサリー,,,紫吹蘭,
第1弾,01-50,天の川コズミックカチューシャ,レア,アクセサリー,,,霧矢あおい,
第1弾,01-51,オーロラキスリボン,レア,アクセサリー,,,星宮いちご,
第1弾,01-52,ジュエルつきパープルリボン,レア,アクセサリー,,,星宮いちご,
